label_id,label_name
59,Tresor
654,Capitol Records
442793,Happy Vibe Productions
53269,Nakameguro Yakkyoku Recordings
4644,Addict Records
17544,Psycho+Logical-Records
949865,Texas Scratch League Records
949865,Texas Scratch League Records
3785,Kitty-Yo
641587,The Bunker New York
65616,Aus Music
237,Drumcode
509824,Houndstooth
969,Versatile Records
246,M_nus
1818,Not On Label
27031,Sire
1818,Not On Label
76273,Polydor Ltd.
417,Analog Records USA
59590,CBS Special Products
193472,L.I.E.S.  (Long Island Electrical Systems)
1247321,Ego Death
3020,Ghostly International
12099,X-Mix
4820,Infrabass
618,Direct Beat
85052,Disques Sinthomme
688656,Pheel Music
855,D.C. Recordings
314,Dance Mania
314,Dance Mania
5973,Voice-Noise Records
41350,AT Records
562185,Lost Soul Enterprises
285,Attack Records
41697,Scandinavia
12349,Rabid Records
12122,UFO Recordings
651,Elektra
5644,Uncivilized World
41697,Scandinavia
137,Audio Blueprint
384584,Aficionado Recordings
641587,The Bunker New York
649,Drop Bass Network
246,M_nus
7483,Hot Tracks
641587,The Bunker New York
6507,Freak Mode
442793,Happy Vibe Productions
373221,Not On Label (The Doobie Brothers)
28853,Hook Up Tunes
4762,Bastard Loud Records
1217,Stones Throw Records
246,M_nus
4421,Never Records
1097,Bloody Fist Records
2161,Blue Planet Recordings
318,Suburban Base Records
6449,Violent Turd
3020,Ghostly International
22115,Wanted Records (2)
149,Position Chrome
9421,Flesh Records
30964,Smooth Agent Records
14928,Unique Muzique
269,Force Inc. Music Works
28694,Don Q Records
237,Drumcode
681,Atlantic
58991,SMC Recordings
686,Chillifunk Records
122528,Maximum Impact Records
3434,Hardkiss
30964,Smooth Agent Records
5737,Hi-Phen Music Delivery
30693,Herbal Essence
48201,Ghost Town
61218,[PIAS] Recordings
111,Mo Wax
128,Metalheadz
6230,303 Recordings
1965,Big Beat
394,Basement Boys Records
93184,My Last Wish
283341,Hot Mix 5 Records
514,V Recordings
7561,Wild Pitch Records
305,Re-load Records
927,Intuit-Solar
2880,Traum Schallplatten
82053,Pylon Records (2)
24367,Serchlite Music
1456,Sm:)e Communications
23927,Raptivism
226,Kombination Research
417,Analog Records USA
23999,Lilac Point Recordings
5778,Framework Music
2534,Kult Records
3520,Kingsize
6260,Nettwerk America
3051,Hidden Agenda
11818,Rush Associated Labels
606,Kranky
4961,ATP Recordings
4776,Sugar Hill Records
300,Higher Ground
7999,Star 69 Records
750,Virgin
6055,Modern Urban Jazz
514,V Recordings
4,Siesta Music
39357,Mercury
1818,Not On Label
1818,Not On Label
190205,Not On Label (Satoshi Tomiie)
3051,Hidden Agenda
208012,Get On Down
632,Ultra Records
427,Sonix
9624,Tora Tora Tora
4233,Databass Records
7801,Ruthless Records
8530,Mars Assault
61095,Manifest Music
4312,Terror Traxx
3310,Enzyme Records
1640,KK Traxx
39357,Mercury
26011,Tommy Boy
1569,Go! Discs
2311,Interscope Records
5168,Purple Music
28694,Don Q Records
4233,Databass Records
13420,Bust A Groove
1572,Chez Music
702,OM Records
3885,Medicine Label
702,OM Records
1216,Rawkus
5070,Undercontrol
20093,Audio Attack Records
7734,Phat Trax
12924,Odds & Ends Music
533,Penny Black
830,International House Records
2792,SOUR
13759,Antenna International
927,Intuit-Solar
1456,Sm:)e Communications
93,Alola
240,Kinetic Records
23085,Rip-It Records
1866,Columbia
18955,Dischord Records
7801,Ruthless Records
26011,Tommy Boy
39355,Mamma's Home Cookin
3807,Echo Drop
347,Planet Rhythm Records
2583,Smitten
158452,4th & Broadway
1973,Unique
5432,Liquid Sound Lounge
456,Wally's Groove World
3950,Crammed Discs
6478,Howlin' Records
30446,Kushi
29074,Moonshine Music
4244,Great Jones
109,Ninja Tune
2186,Jive
4511,E-SA Records
235,Djax-Up-Beats
28607,V2
5411,Unidisc
324,Henry Street Music
36766,Ubiquity
1866,Columbia
131420,Other
1365351,Argo (6)
283,Junior Boy's Own
878,MCA Records
526,Frontline Records
5958,Chicks On Speed Records
7410,Deceptive
854757,Evolution (17)
15853,Karloff
104016,Scepter Records
111,Mo Wax
27684,Code Red Recordings
685,Asphodel
3219,Topaz
104380,International Breakbeat Inc.
83113,Dark And Evil
47028,Raw Beats
11348,Musik Krause
86487,DGC
1216,Rawkus
14111,West Side Records (USA)
17083,Care Recordings
57707,Prismatic Tracks
2161,Blue Planet Recordings
42167,Smash Hit Music Co
11483,Skull Tunes
11112,Scantraxx
20634,Frik:N:Frak Recordings
6731,Amber Records
361,Playhouse
564,Question
62,Eukahouse
1542,Subhead
29074,Moonshine Music
258,Underground Resistance
789,King Street Sounds
2516,Poji Records
88,Nite Grooves
945,Armed Records
27031,Sire
1866,Columbia
188,Astralwerks
4796,Wikkid Records
2444,EFA
19591,Prestige
12255,Pagan America
6262,Joker Records
702,OM Records
218435,Pickwick/33 Records
564,Question
444,Renegade Recordings
118403,Sick & Twisted
120240,CLR (2)
945,Armed Records
14141,Celluloid Records
878,MCA Records
84429,Tough Luck
632,Ultra Records
65341,20th Century Fox Records
7595,Miami Soul
117950,Big Cat
7492,Nott-Us Records
47085,Trauma Records (2)
654,Capitol Records
1818,Not On Label
12321,Shady Records
758,TVT Records
31358,Interzone
19735,Rap-A-Lot Records
1866,Columbia
904,A&M Records
878,MCA Records
41697,Scandinavia
115,Audio Couture
6310,T.K. Disco
10154,I Hear Ya! Records
1216,Rawkus
1005,Epic
1403,Nepenta
5042,Beatz
39357,Mercury
904,A&M Records
3212,Splash Recordings
22372,Payday
382,NRK Sound Division
1000,Warner Bros. Records
1866,Columbia
14860,Darkroom Dubs
681,Atlantic
19735,Rap-A-Lot Records
7623,Realize
3514,Influence
10391,Renegade Records NYC
4254,D3
8620,Stik Records
27696,Rap-A-Lot 4 Life
19814,So So Def
2136,Sugar Daddy Records
27665,Picture Perfect Records
1411938,Threshold (5)
681,Atlantic
284,Cutting Traxx
472,Formaldehyd
39155,Coral
1866,Columbia
2004,Stockholm Records
2715,Priority Records
115,Audio Couture
4633,Highland Beats Technology Music Works
27696,Rap-A-Lot 4 Life
283,Junior Boy's Own
5041,Verve Records
8377,Island Records
297,FFRR
8270,Solar
1178,Nukleuz
1866,Columbia
1181,Dance Pollution
26391,Mute
8693,Almighty Records
2922,EMI-Manhattan Records
12751,Carnal
1866,Columbia
2462,Jersey Underground
149,Position Chrome
149,Position Chrome
11112,Scantraxx
6426,Uncle P
14427,Pepper
243,Bush
1866,Columbia
1952,Relativity
1658,Creation Records
1554,Urban Flavour Records
4115,Vicious Circle Recordings
13531,Liberty
9433,Roc-A-Fella Records
1818,Not On Label
13250,Club Recordings
77346,Biv Ten Records
120244,CLRetry
4933,Koch Records
237,Drumcode
31455,Tuff Break Records
4925,Magic Trax
632,Ultra Records
2612,Tonic Recordings
2311,Interscope Records
167,Bombay Records (2)
2714,Intersound
123,Moving Shadow
310755,EDJ Records
29377,!K7 Records
148054,Dekmantel
819069,BK. Confidential
759,Surveillance
1866,Columbia
4584,Acid Test Pressings
157,Reprise Records
22277,Nature Sounds
7019,Exalt Recordings
119820,Bad Boy Records (5)
5813,Smokin' Drum
2311,Interscope Records
46626,Major League Entertainment
8073,Monotone Records
1195822,was / is
615733,The Nite Owl Diner
825854,Bahnsteig 23
503480,Beste Modus
406110,Razor N Tape
3225,Inflamable
954868,Glitterbox
12715,Vinylmania
148054,Dekmantel
185,Planet Mu
852921,Sounds Of The City (3)
12378,Eastern Conference
56060,Activ-Analog Records
204581,Foundation X
651,Elektra
97,Moods & Grooves
19737,Death Row Records (2)
654,Capitol Records
609,Strictly Rhythm
