687970780,CD Album Club,6.48,Very Good (VG),Draft,4967636
687970884,"12""",6.48,Mint (M),Draft,160084
687970896,LP Comp Mixed,6.48,Mint (M),Draft,361059
687971018,"12"" Promo W/Lbl",5.89,Very Good Plus (VG+),Draft,1131177
687970978,"12""",6.48,Near Mint (NM or M-),Draft,120194
687970932,"12""",5.89,Very Good Plus (VG+),Draft,34495
687970984,"12""",6.48,Very Good Plus (VG+),Draft,363466
687970956,"12"" Mar",5.89,Very Good Plus (VG+),Draft,1552174
687970995,"12""",6.48,Near Mint (NM or M-),Sold,1005534
687970972,"7""",3.79,Near Mint (NM or M-),Sold,3660940
687971238,"12""",4.89,Very Good Plus (VG+),Draft,4766
687971161,"12""",5.89,Near Mint (NM or M-),Draft,4989594
687971279,"12""",4.89,Very Good Plus (VG+),Draft,7377
687971175,"12"" EP",5.89,Very Good Plus (VG+),Draft,1019
687971112,"12""",6.48,Near Mint (NM or M-),Draft,3906
687971206,"12""",5.89,Very Good (VG),Sold,205550
687971157,"12"" W/Lbl",4.89,Very Good Plus (VG+),Draft,9157358
687971342,"12"" W/Lbl",4.89,Very Good (VG),Draft,4070865
687971369,"12"" EP",4.89,Very Good Plus (VG+),Draft,47426
687971401,"12""",4.89,Very Good (VG),Draft,557677
687971405,CD Promo Smplr,4.89,Near Mint (NM or M-),Sold,3749707
687971408,"12"" W/Lbl",4.89,Very Good Plus (VG+),Draft,9187889
687971425,"12"" Promo W/Lbl",4.89,Very Good Plus (VG+),Draft,2078589
687971438,CD Comp,4.89,Near Mint (NM or M-),Sold,201918
687971482,CD Album,2.95,Near Mint (NM or M-),Sold,1643849
687971529,CD Album,4.89,Very Good Plus (VG+),Sold,3230257
687971562,"12""",4.19,Very Good Plus (VG+),Draft,334855
687971773,"12""",3.49,Very Good Plus (VG+),Draft,5704
687971803,"12""",4.19,Very Good (VG),Draft,251723
687971671,"12""",4.19,Very Good (VG),Draft,37292
687971672,"12""",4.19,Good Plus (G+),Draft,25261
687971663,"12""",4.89,Near Mint (NM or M-),Sold,229390
687971717,"12"" W/Lbl",4.89,Very Good Plus (VG+),Sold,3723996
687971811,LP Album,4.89,Near Mint (NM or M-),Draft,532230
687971750,"12"" Single",4.89,Very Good Plus (VG+),Draft,139564
687971751,"12""",4.89,Very Good Plus (VG+),Draft,123443
687971682,"12"" EP",4.19,Very Good (VG),Draft,847589
687971992,"12""",3.49,Very Good (VG),Draft,146679
687971919,"12""",4.19,Very Good Plus (VG+),Draft,96130
687971931,"12"" Single",4.19,Very Good (VG),Draft,85053
687971835,"12"" EP",4.89,Very Good Plus (VG+),Sold,4959
687971852,"12""",4.89,Very Good Plus (VG+),Sold,33992
687971974,"12""",4.89,Very Good Plus (VG+),Draft,27360
687971858,"12""",4.89,Near Mint (NM or M-),Draft,279362
687971871,"12""",4.89,Very Good Plus (VG+),Sold,24660
687971874,"12""",4.89,Very Good Plus (VG+),Draft,925342
687972031,"12""",4.19,Very Good Plus (VG+),Draft,34903
687972041,"12""",4.19,Very Good Plus (VG+),Draft,507438
687972056,CD Album,4.19,Very Good Plus (VG+),Sold,1296715
687972223,"12"" Promo",3.49,Very Good Plus (VG+),Draft,610849
687972311,"12""",2.89,Very Good Plus (VG+),Draft,341261
687972265,"12""",3.49,Very Good Plus (VG+),Draft,2504365
687972447,"12"" Promo",3.49,Very Good Plus (VG+),Draft,1595265
687972448,"12"" Promo",3.49,Very Good Plus (VG+),Draft,312753
687972461,"10"" Single Cle",3.49,Very Good Plus (VG+),Draft,334628
687972467,"12""",3.49,Very Good Plus (VG+),Draft,38670
687972384,"12""",3.49,Very Good Plus (VG+),Draft,683167
687972642,"12""",2.89,Very Good Plus (VG+),Sold,6889
687972556,CD Single,2.89,Near Mint (NM or M-),Draft,564467
687972527,"12""",2.89,Very Good (VG),Sold,31459
687972512,"12""",3.49,Very Good Plus (VG+),Draft,129657
687972745,"12""",2.89,Very Good (VG),Draft,208686
687972776,"12""",2.89,Mint (M),Draft,2361814
687972786,"12""",2.89,Very Good (VG),Draft,41660
687972680,CD Single,2.89,Near Mint (NM or M-),Sold,52203
687972697,CD Comp Club,2.89,Very Good Plus (VG+),Sold,3010032
687972705,CD Comp,2.89,Near Mint (NM or M-),Sold,1337449
687972846,"12"" S/Sided",2.89,Very Good Plus (VG+),Sold,6893
687972826,"12"" Single",2.89,Near Mint (NM or M-),Draft,45610
687972929,"12""",2.89,Good Plus (G+),Draft,32945
687973071,"12""",2.89,Good Plus (G+),Sold,138605
687973077,"12"" Dis",2.89,Very Good (VG),Sold,38334
687973029,"12""",2.89,Very Good Plus (VG+),Draft,90977
687973034,"12""",2.89,Very Good Plus (VG+),Draft,513938
687973070,"12"" Promo",1,Very Good Plus (VG+),Sold,2719454
687973144,"12""",2.89,Very Good Plus (VG+),Draft,307080
687973284,"12"" Maxi",2,Very Good Plus (VG+),Sold,153063
687973228,"12"" W/Lbl Sti",2.89,Very Good Plus (VG+),Sold,1261795
687973170,"12""",2,Very Good Plus (VG+),Sold,237669
687973484,"12""",1.29,Very Good Plus (VG+),Sold,125177
687973485,"12""",1.29,Very Good Plus (VG+),Sold,65897
687973405,"12""",2,Very Good Plus (VG+),Sold,137910
687973420,"12""",1,Very Good Plus (VG+),Sold,572174
687973462,CD Album,2,Very Good (VG),Sold,33291
687973352,"12""",2,Very Good (VG),Draft,577111
687973371,"12""",2.89,Very Good Plus (VG+),Draft,114611
687973353,"12""",2,Very Good Plus (VG+),Sold,88166
687973621,"12""",2,Very Good (VG),Draft,424799
687973636,"12""",2,Very Good (VG),Sold,179881
687973494,"12"" Ltd Smplr",1.29,Very Good Plus (VG+),Sold,76691
687973644,"12"" EP",2,Good Plus (G+),Draft,264870
687973537,"12""",2,Good Plus (G+),Sold,197545
687973584,"12"" Promo",1.29,Very Good Plus (VG+),Sold,113131
687973565,"12""",2,Very Good Plus (VG+),Draft,332711
687973758,LP Album,4.19,Very Good Plus (VG+),Draft,1414741
687973773,"12""",4.19,Very Good Plus (VG+),Draft,6950
687973708,"12"" Unofficial",4.19,Very Good Plus (VG+),Draft,767112
687973746,"12"" W/Lbl",16.98,Mint (M),Sold,10322686
