listing_id,artist,title,label,styles,format,release_id,status,price,listed,media_condition,image_url,video_url
894998576,Crown Heights Affair,Limited Edition Double Pack,Groovin Recordings,Disco,"2x12"", Ltd",13110919,For Sale,32.95,5/21/19 1:21,Mint (M),https://img.discogs.com/UB5B8xB4eQg-GYr0MU5avCS1NTg=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-13110919-1548246048-3015.jpeg.jpg,https://www.youtube.com/watch?v=9RMbB84lieU
901247132,Damon Wild,13,Music Man Records,Techno / Tribal,"12""",9548,For Sale,4.89,5/21/19 1:21,Very Good (VG),https://img.discogs.com/gXyIM0FNCXYweG55q9yDdk08b2s=/fit-in/555x559/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-9548-1180721230.jpeg.jpg,https://www.youtube.com/watch?v=Jd4RsmLJV28
895425080,Dawl,Infected System EP,Shadow Play,Acid / Techno / Electro,"12"", EP",13070978,For Sale,14.95,5/21/19 1:21,Mint (M),https://img.discogs.com/MSAS76-QFryaZW5AfQM2bpQJ1oY=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-13070978-1563230046-3054.jpeg.jpg,https://www.youtube.com/watch?v=M0IoV9--X5w
904975177,De La Swing & Baum / Mat.Joe,Discokids / Disco Ballz,Mother (3),House / Tech House / Disco,"12"", EP",13184020,For Sale,14.95,5/21/19 1:21,Mint (M),https://img.discogs.com/1OAGRtOPjCuv3rUns2knZzZmyng=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-13184020-1549541329-7365.jpeg.jpg,https://www.youtube.com/watch?v=AxI6EInmrRw
892523976,Death In Vegas,Aisha,Concrete,Trip Hop / Big Beat,"12"", S/Sided, Etch, Ltd, Promo",318017,For Sale,12.49,5/21/19 1:21,Very Good Plus (VG+),https://img.discogs.com/tHNcPy_8jA6EevVJ3sEx6TMqqSM=/fit-in/320x316/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-318017-1245131542.jpeg.jpg,https://www.youtube.com/watch?v=zzZzDbRp3z4
908279459,Delerium Featuring Jaël,After All,Nettwerk America,Progressive House / Trance,"12""",153217,For Sale,6.95,5/21/19 1:21,Very Good Plus (VG+),https://img.discogs.com/jpoYyKrrhww1lYM1L85NQuHVJ6Y=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-153217-1224019318.jpeg.jpg,https://www.youtube.com/watch?v=SGAkpZ4Ku98
904615718,Dirty Channels,Take It Easy 001,Take It Easy (2),Nu-Disco / House,"12""",13107097,Sold,17.49,5/21/19 1:21,Mint (M),https://img.discogs.com/knQbMqEUL0_wgVUEiy3yIbXsJuQ=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-13107097-1548175823-7215.jpeg.jpg,https://www.youtube.com/watch?v=bONSrVYQ_dA
904991079,Discoboxer,Fist,Key Vinyl,Techno,"12"", + r",13185943,For Sale,15.95,5/21/19 1:21,Mint (M),https://img.discogs.com/vdUvwrG6gyJj1UMoinGszBdI-jU=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-13185943-1549663135-4095.jpeg.jpg,https://www.youtube.com/watch?v=vBIU70qaW4U
905017590,DJ Distance,Awaken,Chestplate,Dubstep / Grime,"12""",13253883,For Sale,16.95,5/21/19 1:21,Mint (M),https://img.discogs.com/B6AV7ZBwHwFUq19skGCx0CdtQeA=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-13253883-1551350860-5121.jpeg.jpg,https://www.youtube.com/watch?v=96wZKpJzByE
909775433,DJ Gumbee,Flow,Moonshine Music,Breaks,"12""",88596,For Sale,6.95,5/21/19 1:21,Very Good Plus (VG+),https://img.discogs.com/8CoWm5ZNhzfuwaAtLCkugHzFWlk=/fit-in/400x389/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-88596-1378016429-7781.jpeg.jpg,https://www.youtube.com/watch?v=UJSw7V1L-Tc
904974587,DJ Koze,Amygdala Remixes,Pampa Records,Minimal Techno / Tech House / House,"12""",5165052,For Sale,14.95,5/21/19 1:21,Mint (M),https://img.discogs.com/3-98RCMKH-_U51eGtsaviVaYO8w=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-5165052-1386266122-3440.jpeg.jpg,https://www.youtube.com/watch?v=DRNjlINgZns
906063402,DJ Pierre,Jack City Vol 1,Afro Acid Plastik,House / Tech House,"12""",12907074,For Sale,16.95,5/21/19 1:21,Mint (M),https://img.discogs.com/PJKb2wRGvYpK4OOG1IiophLRqXU=/fit-in/600x601/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-12907074-1544277691-8076.jpeg.jpg,n/a
900788558,DJ Sappo / Influx Datum,A Decade Of Breaks Part 4,Formation Records,Drum n Bass,"12""",39915,For Sale,4.89,5/21/19 1:21,Very Good Plus (VG+),https://img.discogs.com/IMpxRJszIC1121P0C9onm9NDPgI=/fit-in/600x603/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-39915-1293374614.jpeg.jpg,https://www.youtube.com/watch?v=TNurx9JicNI
897525733,DJ Sneak,Blue Funk II,Relief Records,House,"12"", Cle",1579936,For Sale,18.95,5/21/19 1:21,Very Good Plus (VG+),https://img.discogs.com/WDap5-7Bci4VGtt_yfN31hT3HiU=/fit-in/450x450/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-1579936-1342765375-3771.jpeg.jpg,https://www.youtube.com/watch?v=LCfmaHBpx20
903138678,DJ Spooky + Totemplow,Template 23 Mixes,Manifold Records,Illbient,"12"", Ltd",809099,For Sale,8.95,5/21/19 1:21,Very Good (VG),https://img.discogs.com/LcUQw8AORY6Qhgt0Px7y1IYaP_s=/fit-in/520x520/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-809099-1281007303.jpeg.jpg,n/a
909781443,DJ Spooky vs. Dave Lombardo,B Side Wins Again,Thirsty Ear,Cut-up/DJ / Conscious,"12""",861309,For Sale,7.95,5/21/19 1:21,Very Good Plus (VG+),https://img.discogs.com/LGTmCaK333uRU2Tn1bRViFUvDLI=/fit-in/594x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-861309-1282593581.jpeg.jpg,https://www.youtube.com/watch?v=vAz9BxUakQM
899755848,DJ Vague,Restoring Nature,Anarchostar,House / Ghetto House / Ghettotech,"12"", EP, Ltd",9056278,For Sale,15.95,5/21/19 1:21,Near Mint (NM or M-),https://img.discogs.com/sdAksC5lNgF2_eTggqPQIYzNbsI=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-9056278-1474009492-5325.jpeg.jpg,https://www.youtube.com/watch?v=roZb1sPIbSM
900298987,DJ Vortex & Arpa's Dream,Incoming,Tidy Two,Hardstyle / Hard Trance,"12""",64904,For Sale,4.89,5/21/19 1:21,Very Good (VG),https://img.discogs.com/KCTalicqB9bdNRCUz6syhKFziwY=/fit-in/600x602/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-64904-1533521111-4222.jpeg.jpg,https://www.youtube.com/watch?v=r4-tP3CQIRU
903132506,Dobie,Coming Up For Air,Pussyfoot Records Ltd,Trip Hop / Conscious,"12""",64945,For Sale,7.95,5/21/19 1:21,Very Good Plus (VG+),https://img.discogs.com/svV73-fVKBSWnRZmZrNpq8yb4Ko=/fit-in/597x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-64945-1441995705-8757.jpeg.jpg,https://www.youtube.com/watch?v=_d46XgWi39A
907615191,Dorothy Ashby,Canto De Ossanha,Black Hole (6),Jazz-Funk,"7"", Single, Unofficial",11683005,Sold,15.95,5/21/19 1:21,Mint (M),https://img.discogs.com/xWxDwdN8Nhtmy5IaVuEpjxS-UrQ=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-11683005-1520601279-6939.jpeg.jpg,https://www.youtube.com/watch?v=FXo8bkYd2nY
901193319,Dresden Danse,Acid,Harvard Square Records,House / Industrial,LP,138067,For Sale,4.19,5/21/19 1:21,Very Good Plus (VG+),https://img.discogs.com/dkK38t1cWxBAmOaEnTxl91XOOe4=/fit-in/421x416/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-138067-1198345046.jpeg.jpg,https://www.youtube.com/watch?v=tKHDsvLSX_k
910274031,"Drumsound & Simon ""Bassline"" Smith",Stigmata / Time,Technique Recordings,Drum n Bass,"12""",32196,For Sale,5.75,5/21/19 1:21,Very Good (VG),https://img.discogs.com/ZQOdbn6pgCeBLZw-iu_0oMj1Cfs=/fit-in/593x594/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-32196-1328306109.jpeg.jpg,https://www.youtube.com/watch?v=Z-TvvOOLJLs
898516116,DVA (2),Take It All,Hyperdub,Dubstep / Grime / Techno,"10"", EP, Ltd",8539664,For Sale,14.49,5/21/19 1:21,Very Good Plus (VG+),https://img.discogs.com/RB8fGDhLWneIN0pe1vbyCr5-ESY=/fit-in/600x610/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-8539664-1463651311-3387.jpeg.jpg,https://www.youtube.com/watch?v=6cZ7PqUpzIU
903132317,The Dylan Group,Bittersweet,Bubble Core Records,Illbient / Post Rock,"12""",27878,For Sale,4.89,5/21/19 1:21,Very Good Plus (VG+),n/a,https://www.youtube.com/watch?v=yfITHNJStZo
909709976,E.P.S. & 2-Vibe,Funk Da Fied / Keepin' It Real,Urban Takeover,Drum n Bass,"12"", Promo",95321,For Sale,4.19,5/21/19 1:21,Very Good (VG),https://img.discogs.com/8u6h1AQAKEpvkeIbFQKVrn39WaU=/fit-in/600x583/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-95321-1165949282.jpeg.jpg,https://www.youtube.com/watch?v=EuBbCDvmDSA
906063657,Ecotone,Under His Eye,Dame-Music,Techno,"12""",13228262,For Sale,17.95,5/21/19 1:21,Mint (M),https://img.discogs.com/1NJKFVJ6yDR0p-W5fnE9oAcuS4g=/fit-in/600x605/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-13228262-1550335505-4918.jpeg.jpg,https://www.youtube.com/watch?v=bQZL3-CLFa0
900350101,Electroset,How Does It Feel? (Theme From Techno Blues),"FFRR, FFRR",Hardcore / Techno,"12"", Promo",258797,For Sale,3.2,5/21/19 1:21,Very Good Plus (VG+),https://img.discogs.com/st8inlxO2OUgsrNy_BmubpDbHno=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-258797-1170498023.jpeg.jpg,https://www.youtube.com/watch?v=ztFc0_AU1rI
909747642,Emergency Broadcast Network,Behavior Modification / We Will Rock You,TVT Records,Industrial,"12""",663666,For Sale,7.95,5/21/19 1:21,Very Good (VG),https://img.discogs.com/fjLsPzqGraneL25a2MKeqUCI6-Q=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-663666-1199317798.jpeg.jpg,https://www.youtube.com/watch?v=UDOXNto9i64
895392208,Emery (2) & Garo (5) / Simplification,Moon Love (Lynx Remix) / Love Forever (Random Movement Remix) ,Ambra Recordings,Drum n Bass,"12"", Ltd, Sil",7430407,For Sale,12.49,5/21/19 1:21,Mint (M),https://img.discogs.com/SrASJ4DNnaLRO7CbS0dFMiEtMm0=/fit-in/600x600/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-7430407-1441643109-5960.jpeg.jpg,https://www.youtube.com/watch?v=Ux7uJq0tp0I
900351425,Evergreen,Tomorrow Never Knows,"Next Plateau Records Inc., Next Plateau Records Inc.",Trance / Techno,"12"", Maxi, Promo",708866,For Sale,2.89,5/21/19 1:21,Very Good Plus (VG+),https://img.discogs.com/pydO39_h0FaY-4N0oHKSjMFmWok=/fit-in/600x599/filters:strip_icc():format(jpeg):mode_rgb():quality(90)/discogs-images/R-708866-1167883037.jpeg.jpg,n/a
